exposure	outcome	outcome_id	outcome_type	method	method_id	nsnp	beta	SE	p_value	beta_lower_95CI	beta_upper_95CI	OR	OR_lower_95CI	OR_upper_95CI	qc_pass	qc_message
Asthma	AST	3013721	continuous	Inverse variance weighted	mr_ivw	623	-0.000204128417726959	0.000236521068632343	0.388112511845959	-0.000667709712246352	0.000259452876792433	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	MR Egger	mr_egger_regression	623	-0.000135024978981353	0.000235669822549284	0.56689181540799	-0.00059693783117795	0.000326887873215243	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Weighted median	mr_weighted_median	623	-1.7566361478985e-05	0.00026086011253327	0.946310907095871	-0.000528852182044194	0.000493719459086224	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Simple mode	mr_simple_mode	623	0.00240513804325341	0.0109282365063689	0.825877375191073	-0.0190142055092297	0.0238244815957365	NA	NA	NA	TRUE	PASS
Asthma	AST	3013721	continuous	Weighted mode	mr_weighted_mode	623	0.00240513804325341	0.0103339885113237	0.816039451741758	-0.0178494794389411	0.0226597555254479	NA	NA	NA	TRUE	PASS
Asthma	GGT	3026910	continuous	Inverse variance weighted	mr_ivw	641	0.000147629075141017	0.000173987324118872	0.396156914851143	-0.000193386080131972	0.000488644230414006	NA	NA	NA	TRUE	PASS
Asthma	GGT	3026910	continuous	MR Egger	mr_egger_regression	641	0.000139111624587173	0.000174792533026295	0.426404840219887	-0.000203481740144365	0.000481704989318711	NA	NA	NA	TRUE	PASS
Asthma	GGT	3026910	continuous	Weighted median	mr_weighted_median	641	0.000126292842174107	0.000183935566112862	0.492325635821049	-0.000234220867407102	0.000486806551755316	NA	NA	NA	TRUE	PASS
Asthma	GGT	3026910	continuous	Simple mode	mr_simple_mode	641	0.00709073343029826	0.00612583555899451	0.247494693850975	-0.00491590426533099	0.0190973711259275	NA	NA	NA	TRUE	PASS
Asthma	GGT	3026910	continuous	Weighted mode	mr_weighted_mode	641	-0.00672790090857767	0.00579079509309026	0.24573892273336	-0.0180778592910346	0.00462205747387923	NA	NA	NA	TRUE	PASS
Asthma	HDL cholesterol	3023602	continuous	Inverse variance weighted	mr_ivw	642	-9.28083117096095e-05	0.000212500536423005	0.66229709258839	-0.0005093093630987	0.000323692739679481	NA	NA	NA	TRUE	PASS
Asthma	HDL cholesterol	3023602	continuous	MR Egger	mr_egger_regression	642	-0.000127116332331192	0.00021301096825867	0.550878952858683	-0.000544617830118185	0.000290385165455802	NA	NA	NA	TRUE	PASS
Asthma	HDL cholesterol	3023602	continuous	Weighted median	mr_weighted_median	642	-0.000112528530616488	0.000148094134250892	0.447347470158314	-0.000402793033748237	0.000177735972515261	NA	NA	NA	TRUE	PASS
Asthma	HDL cholesterol	3023602	continuous	Simple mode	mr_simple_mode	642	0.000827730440573396	0.0103525278418416	0.936298456231096	-0.0194632241294361	0.0211186850105829	NA	NA	NA	TRUE	PASS
Asthma	HDL cholesterol	3023602	continuous	Weighted mode	mr_weighted_mode	642	0.000827730440573396	0.010578089700331	0.937653991233798	-0.0199053253720753	0.0215607862532221	NA	NA	NA	TRUE	PASS
Asthma	LDL cholesterol	3001308	continuous	Inverse variance weighted	mr_ivw	642	-0.000196007395861295	0.000255742729498248	0.4434239868505	-0.000697263145677862	0.000305248353955271	NA	NA	NA	TRUE	PASS
Asthma	LDL cholesterol	3001308	continuous	MR Egger	mr_egger_regression	642	-0.000170455036015959	0.000256749199669301	0.506995293577249	-0.000673683467367789	0.000332773395335871	NA	NA	NA	TRUE	PASS
Asthma	LDL cholesterol	3001308	continuous	Weighted median	mr_weighted_median	642	-0.000149086480708138	0.000154389973681393	0.334219986745381	-0.000451690829123668	0.000153517867707393	NA	NA	NA	TRUE	PASS
Asthma	LDL cholesterol	3001308	continuous	Simple mode	mr_simple_mode	642	-0.00555061906377254	0.00939577987263119	0.554891741392517	-0.0239663476141297	0.0128651094865846	NA	NA	NA	TRUE	PASS
Asthma	LDL cholesterol	3001308	continuous	Weighted mode	mr_weighted_mode	642	-0.00555061906377254	0.00920689302115828	0.546804109586457	-0.0235961293852428	0.0124948912576977	NA	NA	NA	TRUE	PASS
Asthma	Triglycerides (fasting)	3048773	continuous	Inverse variance weighted	mr_ivw	641	-1.99703846322911e-05	0.000270615945307765	0.941172679505121	-0.00055037763743551	0.000510436868170928	NA	NA	NA	TRUE	PASS
Asthma	Triglycerides (fasting)	3048773	continuous	MR Egger	mr_egger_regression	641	5.88364874611898e-05	0.000269738714649913	0.827402136613729	-0.00046985139325264	0.00058752436817502	NA	NA	NA	TRUE	PASS
Asthma	Triglycerides (fasting)	3048773	continuous	Weighted median	mr_weighted_median	641	-8.46941467360415e-05	0.000165716518477172	0.609296102593955	-0.000409498522951299	0.000240110229479216	NA	NA	NA	TRUE	PASS
Asthma	Triglycerides (fasting)	3048773	continuous	Simple mode	mr_simple_mode	641	0.00419694046167799	0.00766884120372477	0.584382801594967	-0.0108339882976226	0.0192278692209785	NA	NA	NA	TRUE	PASS
Asthma	Triglycerides (fasting)	3048773	continuous	Weighted mode	mr_weighted_mode	641	0.00419694046167799	0.00767907776741066	0.584883737299352	-0.0108540519624469	0.0192479328858029	NA	NA	NA	TRUE	PASS
